Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-07-22 00:00:00-04:00,37.349998474121094,37.650001525878906,36.25,36.31999969482422,1628900,0.0,0.0
2013-07-29 00:00:00-04:00,36.31999969482422,38.099998474121094,36.16999816894531,37.709999084472656,3252000,0.0,0.0
2013-08-05 00:00:00-04:00,37.56999969482422,37.790000915527344,36.880001068115234,37.27000045776367,2014100,0.0,0.0
2013-08-12 00:00:00-04:00,37.11000061035156,37.90999984741211,36.630001068115234,36.959999084472656,2336900,0.0,0.0
2013-08-19 00:00:00-04:00,36.880001068115234,37.400001525878906,36.529998779296875,36.939998626708984,2044100,0.0,0.0
2013-08-26 00:00:00-04:00,36.86000061035156,37.5,36.130001068115234,36.2599983215332,2623700,0.0,0.0
2013-09-02 00:00:00-04:00,36.06999969482422,36.709999084472656,35.27000045776367,36.43000030517578,3576600,0.0,0.0
2013-09-09 00:00:00-04:00,36.459999084472656,37.720001220703125,36.41999816894531,37.40999984741211,2272300,0.0,0.0
2013-09-16 00:00:00-04:00,37.5,38.099998474121094,37.15999984741211,37.939998626708984,5374200,0.0,0.0
2013-09-23 00:00:00-04:00,37.66999816894531,38.13999938964844,37.310001373291016,37.61000061035156,2097900,0.0,0.0
2013-09-30 00:00:00-04:00,37.34000015258789,38.150001525878906,37.08000183105469,37.59000015258789,2935100,0.0,0.0
2013-10-07 00:00:00-04:00,37.369998931884766,37.689998626708984,36.189998626708984,37.68000030517578,1927900,0.0,0.0
2013-10-14 00:00:00-04:00,37.369998931884766,38.20000076293945,34.54999923706055,38.189998626708984,1712800,0.0,0.0
2013-10-21 00:00:00-04:00,38.18000030517578,38.400001525878906,35.81999969482422,36.25,3794000,0.0,0.0
2013-10-28 00:00:00-04:00,36.34000015258789,36.810001373291016,35.95000076293945,36.150001525878906,2565400,0.0,0.0
2013-11-04 00:00:00-05:00,36.90999984741211,36.939998626708984,35.83000183105469,36.310001373291016,1777000,0.0,0.0
2013-11-11 00:00:00-05:00,36.34000015258789,36.869998931884766,35.91999816894531,36.5099983215332,2154000,0.0,0.0
2013-11-18 00:00:00-05:00,36.63999938964844,36.880001068115234,35.529998779296875,36.59000015258789,2318500,0.0,0.0
2013-11-25 00:00:00-05:00,36.79999923706055,36.88999938964844,36.52000045776367,36.630001068115234,1824700,0.0,0.0
2013-12-02 00:00:00-05:00,36.4900016784668,38.11000061035156,36.0,37.939998626708984,4750300,0.0,0.0
2013-12-09 00:00:00-05:00,37.86000061035156,38.720001220703125,37.5,38.13999938964844,5834700,0.0,0.0
2013-12-16 00:00:00-05:00,38.20000076293945,39.689998626708984,38.13999938964844,39.630001068115234,4798300,0.0,0.0
2013-12-23 00:00:00-05:00,39.65999984741211,40.29999923706055,39.58000183105469,40.16999816894531,2742900,0.0,0.0
2013-12-30 00:00:00-05:00,40.099998474121094,40.790000915527344,40.060001373291016,40.619998931884766,2780700,0.0,0.0
2014-01-06 00:00:00-05:00,40.58000183105469,41.150001525878906,39.9900016784668,41.130001068115234,3679900,0.0,0.0
2014-01-13 00:00:00-05:00,40.959999084472656,41.36000061035156,40.52000045776367,41.09000015258789,2678100,0.0,0.0
2014-01-20 00:00:00-05:00,41.25,41.619998931884766,40.09000015258789,40.11000061035156,2693200,0.0,0.0
2014-01-27 00:00:00-05:00,39.540000915527344,40.599998474121094,39.459999084472656,39.86000061035156,4200800,0.0,0.0
2014-02-03 00:00:00-05:00,39.79999923706055,39.900001525878906,38.25,39.77000045776367,3965000,0.0,0.0
2014-02-10 00:00:00-05:00,39.70000076293945,41.20000076293945,39.349998474121094,40.97999954223633,2738500,0.0,0.0
2014-02-17 00:00:00-05:00,41.18000030517578,41.25,39.20000076293945,40.400001525878906,4325800,0.0,0.0
2014-02-24 00:00:00-05:00,40.40999984741211,40.61000061035156,39.619998931884766,40.400001525878906,5381400,0.0,0.0
2014-03-03 00:00:00-05:00,39.41999816894531,40.689998626708984,39.31999969482422,40.400001525878906,4221900,0.0,0.0
2014-03-10 00:00:00-04:00,40.189998626708984,40.630001068115234,39.45000076293945,39.4900016784668,3020100,0.0,0.0
2014-03-17 00:00:00-04:00,39.61000061035156,40.7400016784668,39.45000076293945,40.11000061035156,4908900,0.0,0.0
2014-03-24 00:00:00-04:00,40.209999084472656,40.38999938964844,37.70000076293945,38.18000030517578,4193500,0.0,0.0
2014-03-31 00:00:00-04:00,38.11000061035156,39.0,37.83000183105469,37.95000076293945,3724700,0.0,0.0
2014-04-07 00:00:00-04:00,37.79999923706055,38.0,36.349998474121094,36.380001068115234,2146000,0.0,0.0
2014-04-14 00:00:00-04:00,36.77000045776367,37.619998931884766,36.029998779296875,37.52000045776367,2223800,0.0,0.0
2014-04-21 00:00:00-04:00,37.459999084472656,38.279998779296875,37.29999923706055,37.310001373291016,3165700,0.0,0.0
2014-04-28 00:00:00-04:00,37.5099983215332,37.939998626708984,36.400001525878906,37.58000183105469,4113100,0.0,0.0
2014-05-05 00:00:00-04:00,37.2599983215332,37.75,36.56999969482422,37.599998474121094,3761100,0.0,0.0
